establecimiento,filas,dataset
"('LICEO MIXTO EN COMPUTACIÓN DEL NORTE', 'alta_verapaz')",[],alta_verapaz
"('ESCUELA NORMAL BILINGUE INTERCULTURAL', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO DE MAGISTERIO BILINGUE NUEVO CHISEC', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SANTO DOMINGO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO TECNOLOGICO LICENCIADO HUMBERTO RIVERA GARCIA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO TECNICO VOCACIONAL SAN AGUSTIN', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO EL EXITO', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE PROMOCION FEMENINA RATZ´UM KICHE´', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS', 'alta_verapaz')",[],alta_verapaz
"('LICEO TECNOLOGICO JOSE DE JESUS', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO DE EDUCACIÒN BILINGUE INTERCULTURAL', 'alta_verapaz')",[],alta_verapaz
"('CENTRO DE PROMOCIÓN FEMENINA RAT´ZUM K´ICHE´', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO EL ÉXITO', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO PRIVADO LATINO', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PRIVADO MIXTO SANTA CATALINA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO TINTECO MARÍA TERESA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO PARTICULAR MIXTO TINTECO MARIA TERESA', 'alta_verapaz')",[],alta_verapaz
"('LICEO CRISTIANO EBENEZER', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO PRIVADO EL PORVENIR ', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO DE MAGISTERIO BILINGUE SAN ANTONIO DE PADUA', 'alta_verapaz')",[],alta_verapaz
"('COLEGIO MIXTO PRIVADO BILINGUE SAN JUAN', 'alta_verapaz')",[],alta_verapaz
"('LICEO SAN JOSE LA PRIMAVERA', 'alta_verapaz')",[],alta_verapaz
"('INSTITUTO MIXTO DE MAGISTERIO BILINGÜE SAN ANTONIO DE PADUA', 'alta_verapaz')",[],alta_verapaz
"('ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO TEZULUTLAN', 'baja_verapaz')",[],baja_verapaz
"('LICEO MIXTO SAN MATEO ', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA', 'baja_verapaz')",[],baja_verapaz
